Sport,Event,Gender,Athlete,Medal,Year
Archery,Individual,Men,Vic Wunderle,Silver,2000
Archery,Individual,Men,Butch Johnson,None,2000
Archery,Individual,Men,Rod White,None,2000
Archery,Team,Men,Rod White•Vic Wunderle•Butch Johnson,None,2000
Archery,Individual,Women,Karen Scavotto,None,2000
Archery,Individual,Women,Denise Parker,None,2000
Archery,Individual,Women,Janet Dykman,None,2000
Archery,Team,Women,Janet Dykman•Karen Scavotto•Denise Parker,None,2000
Artistic Gymnastics,Individual All-Around,Men,Blaine Wilson,None,2000
Artistic Gymnastics,Individual All-Around,Men,Paul Hamm,None,2000
Artistic Gymnastics,Individual All-Around,Men,Stephen McCain,None,2000
Artistic Gymnastics,Individual All-Around,Men,Morgan Hamm,None,2000
Artistic Gymnastics,Individual All-Around,Men,Sean Townsend,None,2000
Artistic Gymnastics,Individual All-Around,Men,John Roethlisberger,None,2000
Artistic Gymnastics,Team All-Around,Men,Paul Hamm•Blaine Wilson•Stephen McCain•Morgan Hamm•Sean Townsend•John Roethlisberger,None,2000
Artistic Gymnastics,Floor Exercise,Men,Morgan Hamm,None,2000
Artistic Gymnastics,Floor Exercise,Men,Paul Hamm,None,2000
Artistic Gymnastics,Floor Exercise,Men,Sean Townsend,None,2000
Artistic Gymnastics,Floor Exercise,Men,Stephen McCain,None,2000
Artistic Gymnastics,Floor Exercise,Men,Blaine Wilson,None,2000
Artistic Gymnastics,Horse Vault,Men,Blaine Wilson,None,2000
Artistic Gymnastics,Horse Vault,Men,Paul Hamm,None,2000
Artistic Gymnastics,Horse Vault,Men,Sean Townsend,None,2000
Artistic Gymnastics,Horse Vault,Men,Morgan Hamm,None,2000
Artistic Gymnastics,Horse Vault,Men,Stephen McCain,None,2000
Artistic Gymnastics,Parallel Bars,Men,Sean Townsend,None,2000
Artistic Gymnastics,Parallel Bars,Men,Paul Hamm,None,2000
Artistic Gymnastics,Parallel Bars,Men,Stephen McCain,None,2000
Artistic Gymnastics,Parallel Bars,Men,Morgan Hamm,None,2000
Artistic Gymnastics,Parallel Bars,Men,Blaine Wilson,None,2000
Artistic Gymnastics,Horizontal Bar,Men,Sean Townsend,None,2000
Artistic Gymnastics,Horizontal Bar,Men,Stephen McCain,None,2000
Artistic Gymnastics,Horizontal Bar,Men,Blaine Wilson,None,2000
Artistic Gymnastics,Horizontal Bar,Men,Paul Hamm,None,2000
Artistic Gymnastics,Horizontal Bar,Men,John Roethlisberger,None,2000
Artistic Gymnastics,Rings,Men,John Roethlisberger,None,2000
Artistic Gymnastics,Rings,Men,Blaine Wilson,None,2000
Artistic Gymnastics,Rings,Men,Paul Hamm,None,2000
Artistic Gymnastics,Rings,Men,Stephen McCain,None,2000
Artistic Gymnastics,Rings,Men,Morgan Hamm,None,2000
Artistic Gymnastics,Pommelled Horse,Men,John Roethlisberger,None,2000
Artistic Gymnastics,Pommelled Horse,Men,Paul Hamm,None,2000
Artistic Gymnastics,Pommelled Horse,Men,Blaine Wilson,None,2000
Artistic Gymnastics,Pommelled Horse,Men,Morgan Hamm,None,2000
Artistic Gymnastics,Pommelled Horse,Men,Stephen McCain,None,2000
Artistic Gymnastics,Individual All-Around,Women,Elise Ray,None,2000
Artistic Gymnastics,Individual All-Around,Women,Amy Chow,None,2000
Artistic Gymnastics,Individual All-Around,Women,Kristen Maloney,None,2000
Artistic Gymnastics,Individual All-Around,Women,Dominique Dawes,None,2000
Artistic Gymnastics,Individual All-Around,Women,Tasha Schwikert-Warren,None,2000
Artistic Gymnastics,Individual All-Around,Women,Jamie Dantzscher,None,2000
Artistic Gymnastics,Team All-Around,Women,Elise Ray•Amy Chow•Kristen Maloney•Dominique Dawes•Tasha Schwikert-Warren•Jamie Dantzscher,None,2000
Artistic Gymnastics,Floor Exercise,Women,Amy Chow,None,2000
Artistic Gymnastics,Floor Exercise,Women,Kristen Maloney,None,2000
Artistic Gymnastics,Floor Exercise,Women,Elise Ray,None,2000
Artistic Gymnastics,Floor Exercise,Women,Dominique Dawes,None,2000
Artistic Gymnastics,Floor Exercise,Women,Jamie Dantzscher,None,2000
Artistic Gymnastics,Horse Vault,Women,Amy Chow,None,2000
Artistic Gymnastics,Horse Vault,Women,Elise Ray,None,2000
Artistic Gymnastics,Horse Vault,Women,Dominique Dawes,None,2000
Artistic Gymnastics,Horse Vault,Women,Jamie Dantzscher,None,2000
Artistic Gymnastics,Horse Vault,Women,Kristen Maloney,None,2000
Artistic Gymnastics,Uneven Bars,Women,Elise Ray,None,2000
Artistic Gymnastics,Uneven Bars,Women,Dominique Dawes,None,2000
Artistic Gymnastics,Uneven Bars,Women,Tasha Schwikert-Warren,None,2000
Artistic Gymnastics,Uneven Bars,Women,Kristen Maloney,None,2000
Artistic Gymnastics,Uneven Bars,Women,Amy Chow,None,2000
Artistic Gymnastics,Balance Beam,Women,Elise Ray,None,2000
Artistic Gymnastics,Balance Beam,Women,Amy Chow,None,2000
Artistic Gymnastics,Balance Beam,Women,Kristen Maloney,None,2000
Artistic Gymnastics,Balance Beam,Women,Tasha Schwikert-Warren,None,2000
Artistic Gymnastics,Balance Beam,Women,Dominique Dawes,None,2000
Artistic Swimming,Duet,Women,Anna Kozlova•Tuesday Middaugh,None,2000
Artistic Swimming,Team,Women,Carrie Barton•Tammy Cleland-McGregor•Anna Kozlova•Kristina Lum•Elicia Marshall•Tuesday Middaugh•Heather Pease Olson•Kim Wurzel•Bridget Finn,None,2000
Athletics,100 metres,Men,Maurice Greene,Gold,2000
Athletics,100 metres,Men,Jon Drummond,None,2000
Athletics,100 metres,Men,Curtis Johnson,None,2000
Athletics,200 metres,Men,Coby Miller,None,2000
Athletics,200 metres,Men,"John Capel, Jr.",None,2000
Athletics,200 metres,Men,Floyd Heard,None,2000
