Sport,Event,Gender,Athlete,Medal,Year
Archery,Individual,Men,Jay Barrs,None,1992
Archery,Individual,Men,Butch Johnson,None,1992
Archery,Individual,Men,Rick McKinney,None,1992
Archery,Team,Men,Butch Johnson•Rick McKinney•Jay Barrs,None,1992
Archery,Individual,Women,Denise Parker,None,1992
Archery,Individual,Women,Jennifer O'Donnell,None,1992
Archery,Individual,Women,Sherry Block,None,1992
Archery,Team,Women,Jennifer O'Donnell•Sherry Block•Denise Parker,None,1992
Artistic Gymnastics,Individual All-Around,Men,Scott Keswick,None,1992
Artistic Gymnastics,Individual All-Around,Men,John Roethlisberger,None,1992
Artistic Gymnastics,Individual All-Around,Men,Chris Waller,None,1992
Artistic Gymnastics,Individual All-Around,Men,Trent Dimas,None,1992
Artistic Gymnastics,Individual All-Around,Men,"Dominick Minicucci, Jr.",None,1992
Artistic Gymnastics,Individual All-Around,Men,Jair Lynch,None,1992
Artistic Gymnastics,Team All-Around,Men,"Chris Waller•John Roethlisberger•Scott Keswick•Trent Dimas•Dominick Minicucci, Jr.•Jair Lynch",None,1992
Artistic Gymnastics,Floor Exercise,Men,Scott Keswick,None,1992
Artistic Gymnastics,Floor Exercise,Men,John Roethlisberger,None,1992
Artistic Gymnastics,Floor Exercise,Men,Chris Waller,None,1992
Artistic Gymnastics,Floor Exercise,Men,Trent Dimas,None,1992
Artistic Gymnastics,Floor Exercise,Men,"Dominick Minicucci, Jr.",None,1992
Artistic Gymnastics,Floor Exercise,Men,Jair Lynch,None,1992
Artistic Gymnastics,Horse Vault,Men,Trent Dimas,None,1992
Artistic Gymnastics,Horse Vault,Men,John Roethlisberger,None,1992
Artistic Gymnastics,Horse Vault,Men,"Dominick Minicucci, Jr.",None,1992
Artistic Gymnastics,Horse Vault,Men,Chris Waller,None,1992
Artistic Gymnastics,Horse Vault,Men,Scott Keswick,None,1992
Artistic Gymnastics,Horse Vault,Men,Jair Lynch,None,1992
Artistic Gymnastics,Parallel Bars,Men,Jair Lynch,None,1992
Artistic Gymnastics,Parallel Bars,Men,Chris Waller,None,1992
Artistic Gymnastics,Parallel Bars,Men,Scott Keswick,None,1992
Artistic Gymnastics,Parallel Bars,Men,Trent Dimas,None,1992
Artistic Gymnastics,Parallel Bars,Men,"Dominick Minicucci, Jr.",None,1992
Artistic Gymnastics,Parallel Bars,Men,John Roethlisberger,None,1992
Artistic Gymnastics,Horizontal Bar,Men,Trent Dimas,Gold,1992
Artistic Gymnastics,Horizontal Bar,Men,Jair Lynch,None,1992
Artistic Gymnastics,Horizontal Bar,Men,Chris Waller,None,1992
Artistic Gymnastics,Horizontal Bar,Men,John Roethlisberger,None,1992
Artistic Gymnastics,Horizontal Bar,Men,Scott Keswick,None,1992
Artistic Gymnastics,Horizontal Bar,Men,"Dominick Minicucci, Jr.",None,1992
Artistic Gymnastics,Rings,Men,Scott Keswick,None,1992
Artistic Gymnastics,Rings,Men,John Roethlisberger,None,1992
Artistic Gymnastics,Rings,Men,Chris Waller,None,1992
Artistic Gymnastics,Rings,Men,"Dominick Minicucci, Jr.",None,1992
Artistic Gymnastics,Rings,Men,Jair Lynch,None,1992
Artistic Gymnastics,Rings,Men,Trent Dimas,None,1992
Artistic Gymnastics,Pommelled Horse,Men,Chris Waller,None,1992
Artistic Gymnastics,Pommelled Horse,Men,Jair Lynch,None,1992
Artistic Gymnastics,Pommelled Horse,Men,"Dominick Minicucci, Jr.",None,1992
Artistic Gymnastics,Pommelled Horse,Men,John Roethlisberger,None,1992
Artistic Gymnastics,Pommelled Horse,Men,Trent Dimas,None,1992
Artistic Gymnastics,Pommelled Horse,Men,Scott Keswick,None,1992
Artistic Gymnastics,Individual All-Around,Women,Shannon Miller,Silver,1992
Artistic Gymnastics,Individual All-Around,Women,Kim Zmeskal,None,1992
Artistic Gymnastics,Individual All-Around,Women,Betty Okino,None,1992
Artistic Gymnastics,Individual All-Around,Women,Kerri Strug,None,1992
Artistic Gymnastics,Individual All-Around,Women,Dominique Dawes,None,1992
Artistic Gymnastics,Individual All-Around,Women,Wendy Bruce,None,1992
Artistic Gymnastics,Team All-Around,Women,Shannon Miller•Betty Okino•Kim Zmeskal•Kerri Strug•Dominique Dawes•Wendy Bruce,None,1992
Artistic Gymnastics,Floor Exercise,Women,Shannon Miller,Bronze,1992
Artistic Gymnastics,Floor Exercise,Women,Kim Zmeskal,None,1992
Artistic Gymnastics,Floor Exercise,Women,Dominique Dawes,None,1992
Artistic Gymnastics,Floor Exercise,Women,Betty Okino,None,1992
Artistic Gymnastics,Floor Exercise,Women,Kerri Strug,None,1992
Artistic Gymnastics,Floor Exercise,Women,Wendy Bruce,None,1992
Artistic Gymnastics,Horse Vault,Women,Shannon Miller,None,1992
Artistic Gymnastics,Horse Vault,Women,Kim Zmeskal,None,1992
Artistic Gymnastics,Horse Vault,Women,Betty Okino,None,1992
Artistic Gymnastics,Horse Vault,Women,Kerri Strug,None,1992
Artistic Gymnastics,Horse Vault,Women,Wendy Bruce,None,1992
Artistic Gymnastics,Horse Vault,Women,Dominique Dawes,None,1992
Artistic Gymnastics,Uneven Bars,Women,Shannon Miller,Bronze,1992
Artistic Gymnastics,Uneven Bars,Women,Kim Zmeskal,None,1992
Artistic Gymnastics,Uneven Bars,Women,Betty Okino,None,1992
Artistic Gymnastics,Uneven Bars,Women,Kerri Strug,None,1992
Artistic Gymnastics,Uneven Bars,Women,Wendy Bruce,None,1992
Artistic Gymnastics,Uneven Bars,Women,Dominique Dawes,None,1992
Artistic Gymnastics,Balance Beam,Women,Shannon Miller,Silver,1992
Artistic Gymnastics,Balance Beam,Women,Betty Okino,None,1992
Artistic Gymnastics,Balance Beam,Women,Kerri Strug,None,1992
Artistic Gymnastics,Balance Beam,Women,Dominique Dawes,None,1992
Artistic Gymnastics,Balance Beam,Women,Wendy Bruce,None,1992
Artistic Gymnastics,Balance Beam,Women,Kim Zmeskal,None,1992
Artistic Swimming,Solo,Women,Kristen Babb-Sprague,Gold,1992
Artistic Swimming,Solo,Women,Karen Josephson,None,1992
Artistic Swimming,Solo,Women,Sarah Josephson,None,1992
Artistic Swimming,Duet,Women,Karen Josephson•Sarah Josephson,None,1992
Athletics,100 metres,Men,Dennis Mitchell,Bronze,1992
Athletics,100 metres,Men,Leroy Burrell,None,1992
Athletics,100 metres,Men,Mark Witherspoon,None,1992
Athletics,200 metres,Men,Mike Marsh,Gold,1992
Athletics,200 metres,Men,Michael Bates,Bronze,1992
Athletics,200 metres,Men,Michael Johnson,None,1992
Athletics,400 metres,Men,Quincy Watts,Gold,1992
Athletics,400 metres,Men,Steve Lewis,Silver,1992
Athletics,400 metres,Men,Danny Everett,None,1992
Athletics,800 metres,Men,Johnny Gray,Bronze,1992
Athletics,800 metres,Men,Mark Everett,None,1992
Athletics,800 metres,Men,Tony Parrilla,None,1992
Athletics,"1,500 metres",Men,Jim Spivey,None,1992
Athletics,"1,500 metres",Men,Steve Holman,None,1992
Athletics,"1,500 metres",Men,Terrance Herrington,None,1992
Athletics,"5,000 metres",Men,Bob Kennedy,None,1992
Athletics,"5,000 metres",Men,Reuben Reina,None,1992
Athletics,"5,000 metres",Men,John Trautmann,None,1992
Athletics,"10,000 metres",Men,Todd Williams,None,1992
Athletics,"10,000 metres",Men,Steve Plasencia,None,1992
Athletics,"10,000 metres",Men,Aaron Ramirez,None,1992
Athletics,Marathon,Men,Steve Spence,None,1992
Athletics,Marathon,Men,Ed Eyestone,None,1992
Athletics,Marathon,Men,Bob Kempainen,None,1992
Athletics,110 metres Hurdles,Men,Tony Dees,Silver,1992
Athletics,110 metres Hurdles,Men,Jack Pierce,Bronze,1992
Athletics,110 metres Hurdles,Men,Arthur J. Blake,None,1992
Athletics,400 metres Hurdles,Men,Kevin Young,Gold,1992
Athletics,400 metres Hurdles,Men,David Patrick,None,1992
Athletics,400 metres Hurdles,Men,McClinton Neal,None,1992
Athletics,"3,000 metres Steeplechase",Men,Brian Diemer,None,1992
Athletics,"3,000 metres Steeplechase",Men,Mark Croghan,None,1992
