Sport,Event,Gender,Athlete,Medal,Year
3x3 Basketball,3x3 Basketball,Women,Kelsey Plum•Jackie Young•Stefanie Dolson•Allisha Gray,None,2020
Archery,Individual,Men,Brady Ellison,None,2020
Archery,Individual,Men,Jacob Wukie,None,2020
Archery,Individual,Men,Jack Williams,None,2020
Archery,Team,Men,Brady Ellison•Jack Williams•Jacob Wukie,None,2020
Archery,Individual,Women,Mackenzie Brown,None,2020
Archery,Individual,Women,Casey Kaufhold,None,2020
Archery,Individual,Women,Jennifer Mucino-Fernandez,None,2020
Archery,Team,Women,Mackenzie Brown•Casey Kaufhold•Jennifer Mucino-Fernandez,None,2020
Archery,Team,Mixed,Brady Ellison•Mackenzie Brown,None,2020
Artistic Gymnastics,Individual All-Around,Men,Brody Malone,None,2020
Artistic Gymnastics,Individual All-Around,Men,Sam Mikulak,None,2020
Artistic Gymnastics,Individual All-Around,Men,Yul Moldauer,None,2020
Artistic Gymnastics,Individual All-Around,Men,Shane Wiskus,None,2020
Artistic Gymnastics,Team All-Around,Men,Brody Malone•Sam Mikulak•Yul Moldauer•Shane Wiskus,None,2020
Artistic Gymnastics,Floor Exercise,Men,Yul Moldauer,None,2020
Artistic Gymnastics,Floor Exercise,Men,Shane Wiskus,None,2020
Artistic Gymnastics,Floor Exercise,Men,Sam Mikulak,None,2020
Artistic Gymnastics,Floor Exercise,Men,Brody Malone,None,2020
Artistic Gymnastics,Parallel Bars,Men,Sam Mikulak,None,2020
Artistic Gymnastics,Parallel Bars,Men,Shane Wiskus,None,2020
Artistic Gymnastics,Parallel Bars,Men,Brody Malone,None,2020
Artistic Gymnastics,Parallel Bars,Men,Yul Moldauer,None,2020
Artistic Gymnastics,Horizontal Bar,Men,Brody Malone,None,2020
Artistic Gymnastics,Horizontal Bar,Men,Shane Wiskus,None,2020
Artistic Gymnastics,Horizontal Bar,Men,Yul Moldauer,None,2020
Artistic Gymnastics,Horizontal Bar,Men,Sam Mikulak,None,2020
Artistic Gymnastics,Rings,Men,Brody Malone,None,2020
Artistic Gymnastics,Rings,Men,Yul Moldauer,None,2020
Artistic Gymnastics,Rings,Men,Sam Mikulak,None,2020
Artistic Gymnastics,Rings,Men,Shane Wiskus,None,2020
Artistic Gymnastics,Pommelled Horse,Men,Alec Yoder,None,2020
Artistic Gymnastics,Pommelled Horse,Men,Yul Moldauer,None,2020
Artistic Gymnastics,Pommelled Horse,Men,Sam Mikulak,None,2020
Artistic Gymnastics,Pommelled Horse,Men,Brody Malone,None,2020
Artistic Gymnastics,Pommelled Horse,Men,Shane Wiskus,None,2020
Artistic Gymnastics,Individual All-Around,Women,Suni Lee,Gold,2020
Artistic Gymnastics,Individual All-Around,Women,Jade Carey,None,2020
Artistic Gymnastics,Individual All-Around,Women,Simone Biles,None,2020
Artistic Gymnastics,Individual All-Around,Women,MyKayla Skinner,None,2020
Artistic Gymnastics,Individual All-Around,Women,Grace McCallum,None,2020
Artistic Gymnastics,Individual All-Around,Women,Jordan Chiles,None,2020
Artistic Gymnastics,Team All-Around,Women,Simone Biles•Jordan Chiles•Suni Lee•Grace McCallum,None,2020
Artistic Gymnastics,Floor Exercise,Women,Jade Carey,Gold,2020
Artistic Gymnastics,Floor Exercise,Women,Simone Biles,None,2020
Artistic Gymnastics,Floor Exercise,Women,Jordan Chiles,None,2020
Artistic Gymnastics,Floor Exercise,Women,MyKayla Skinner,None,2020
Artistic Gymnastics,Floor Exercise,Women,Grace McCallum,None,2020
Artistic Gymnastics,Floor Exercise,Women,Suni Lee,None,2020
Artistic Gymnastics,Horse Vault,Women,MyKayla Skinner,Silver,2020
Artistic Gymnastics,Horse Vault,Women,Jade Carey,None,2020
Artistic Gymnastics,Horse Vault,Women,Simone Biles,None,2020
Artistic Gymnastics,Uneven Bars,Women,Suni Lee,Bronze,2020
Artistic Gymnastics,Uneven Bars,Women,Simone Biles,None,2020
Artistic Gymnastics,Uneven Bars,Women,Jade Carey,None,2020
Artistic Gymnastics,Uneven Bars,Women,Grace McCallum,None,2020
Artistic Gymnastics,Uneven Bars,Women,MyKayla Skinner,None,2020
Artistic Gymnastics,Uneven Bars,Women,Jordan Chiles,None,2020
Artistic Gymnastics,Balance Beam,Women,Simone Biles,Bronze,2020
Artistic Gymnastics,Balance Beam,Women,Suni Lee,None,2020
Artistic Gymnastics,Balance Beam,Women,MyKayla Skinner,None,2020
Artistic Gymnastics,Balance Beam,Women,Grace McCallum,None,2020
Artistic Gymnastics,Balance Beam,Women,Jade Carey,None,2020
Artistic Gymnastics,Balance Beam,Women,Jordan Chiles,None,2020
