Sport,Event,Gender,Athlete,Medal,Year
Archery,Individual,Men,Vic Wunderle,None,2004
Archery,Individual,Men,John Magera,None,2004
Archery,Individual,Men,Butch Johnson,None,2004
Archery,Team,Men,Butch Johnson•John Magera•Vic Wunderle,None,2004
Archery,Individual,Women,Jennifer Nichols,None,2004
Archery,Individual,Women,Janet Dykman,None,2004
Archery,Individual,Women,Stephanie White-Arnold,None,2004
Archery,Team,Women,Stephanie White-Arnold•Janet Dykman•Jennifer Nichols,None,2004
Artistic Gymnastics,Individual All-Around,Men,Paul Hamm,Gold,2004
Artistic Gymnastics,Individual All-Around,Men,Brett McClure,None,2004
Artistic Gymnastics,Individual All-Around,Men,Guard Young,None,2004
Artistic Gymnastics,Individual All-Around,Men,Blaine Wilson,None,2004
Artistic Gymnastics,Individual All-Around,Men,Morgan Hamm,None,2004
Artistic Gymnastics,Individual All-Around,Men,Jason Gatson,None,2004
Artistic Gymnastics,Team All-Around,Men,Jason Gatson•Morgan Hamm•Paul Hamm•Brett McClure•Blaine Wilson•Guard Young,None,2004
Artistic Gymnastics,Floor Exercise,Men,Paul Hamm,None,2004
Artistic Gymnastics,Floor Exercise,Men,Morgan Hamm,None,2004
Artistic Gymnastics,Floor Exercise,Men,Guard Young,None,2004
Artistic Gymnastics,Floor Exercise,Men,Blaine Wilson,None,2004
Artistic Gymnastics,Floor Exercise,Men,Brett McClure,None,2004
Artistic Gymnastics,Horse Vault,Men,Paul Hamm,None,2004
Artistic Gymnastics,Horse Vault,Men,Brett McClure,None,2004
Artistic Gymnastics,Horse Vault,Men,Blaine Wilson,None,2004
Artistic Gymnastics,Horse Vault,Men,Morgan Hamm,None,2004
Artistic Gymnastics,Horse Vault,Men,Guard Young,None,2004
Artistic Gymnastics,Parallel Bars,Men,Paul Hamm,None,2004
Artistic Gymnastics,Parallel Bars,Men,Jason Gatson,None,2004
Artistic Gymnastics,Parallel Bars,Men,Blaine Wilson,None,2004
Artistic Gymnastics,Parallel Bars,Men,Brett McClure,None,2004
Artistic Gymnastics,Parallel Bars,Men,Guard Young,None,2004
Artistic Gymnastics,Horizontal Bar,Men,Paul Hamm,Silver,2004
Artistic Gymnastics,Horizontal Bar,Men,Morgan Hamm,None,2004
Artistic Gymnastics,Horizontal Bar,Men,Brett McClure,None,2004
Artistic Gymnastics,Horizontal Bar,Men,Jason Gatson,None,2004
Artistic Gymnastics,Horizontal Bar,Men,Blaine Wilson,None,2004
Artistic Gymnastics,Rings,Men,Blaine Wilson,None,2004
Artistic Gymnastics,Rings,Men,Guard Young,None,2004
Artistic Gymnastics,Rings,Men,Jason Gatson,None,2004
Artistic Gymnastics,Rings,Men,Paul Hamm,None,2004
Artistic Gymnastics,Rings,Men,Brett McClure,None,2004
Artistic Gymnastics,Pommelled Horse,Men,Paul Hamm,None,2004
Artistic Gymnastics,Pommelled Horse,Men,Morgan Hamm,None,2004
Artistic Gymnastics,Pommelled Horse,Men,Jason Gatson,None,2004
Artistic Gymnastics,Pommelled Horse,Men,Guard Young,None,2004
Artistic Gymnastics,Pommelled Horse,Men,Brett McClure,None,2004
Artistic Gymnastics,Individual All-Around,Women,Carly Patterson,Gold,2004
Artistic Gymnastics,Individual All-Around,Women,Courtney Kupets,None,2004
Artistic Gymnastics,Individual All-Around,Women,Mohini Bhardwaj,None,2004
Artistic Gymnastics,Individual All-Around,Women,Courtney McCool,None,2004
Artistic Gymnastics,Individual All-Around,Women,Terin Humphrey,None,2004
Artistic Gymnastics,Individual All-Around,Women,Annia Hatch,None,2004
Artistic Gymnastics,Team All-Around,Women,Mohini Bhardwaj•Annia Hatch•Terin Humphrey•Courtney Kupets•Carly Patterson•Courtney McCool,None,2004
Artistic Gymnastics,Floor Exercise,Women,Mohini Bhardwaj,None,2004
Artistic Gymnastics,Floor Exercise,Women,Carly Patterson,None,2004
Artistic Gymnastics,Floor Exercise,Women,Courtney Kupets,None,2004
Artistic Gymnastics,Floor Exercise,Women,Courtney McCool,None,2004
Artistic Gymnastics,Floor Exercise,Women,Terin Humphrey,None,2004
