Sport,Event,Gender,Athlete,Medal,Year
Archery,Individual,Men,Darrell Pace,Gold,1984
Archery,Individual,Men,Rick McKinney,Silver,1984
Archery,Individual,Men,Glenn Meyers,None,1984
Archery,Individual,Women,Trena King,None,1984
Archery,Individual,Women,Ruth Rowe,None,1984
Archery,Individual,Women,Benita Edds,None,1984
Artistic Gymnastics,Individual All-Around,Men,Peter Vidmar,Silver,1984
Artistic Gymnastics,Individual All-Around,Men,Mitch Gaylord,None,1984
Artistic Gymnastics,Individual All-Around,Men,Bart Conner,None,1984
Artistic Gymnastics,Individual All-Around,Men,Tim Daggett,None,1984
Artistic Gymnastics,Individual All-Around,Men,Jim Hartung,None,1984
Artistic Gymnastics,Individual All-Around,Men,Scott Johnson,None,1984
Artistic Gymnastics,Team All-Around,Men,Peter Vidmar•Bart Conner•Mitch Gaylord•Tim Daggett•Jim Hartung•Scott Johnson,None,1984
Artistic Gymnastics,Floor Exercise,Men,Bart Conner,None,1984
Artistic Gymnastics,Floor Exercise,Men,Peter Vidmar,None,1984
Artistic Gymnastics,Floor Exercise,Men,Jim Hartung,None,1984
Artistic Gymnastics,Floor Exercise,Men,Scott Johnson,None,1984
Artistic Gymnastics,Floor Exercise,Men,Mitch Gaylord,None,1984
Artistic Gymnastics,Floor Exercise,Men,Tim Daggett,None,1984
Artistic Gymnastics,Horse Vault,Men,Mitch Gaylord,Silver,1984
Artistic Gymnastics,Horse Vault,Men,Jim Hartung,None,1984
Artistic Gymnastics,Horse Vault,Men,Scott Johnson,None,1984
Artistic Gymnastics,Horse Vault,Men,Bart Conner,None,1984
Artistic Gymnastics,Horse Vault,Men,Peter Vidmar,None,1984
Artistic Gymnastics,Horse Vault,Men,Tim Daggett,None,1984
Artistic Gymnastics,Parallel Bars,Men,Bart Conner,Gold,1984
Artistic Gymnastics,Parallel Bars,Men,Mitch Gaylord,Bronze,1984
Artistic Gymnastics,Parallel Bars,Men,Peter Vidmar,None,1984
