Sport,"1st place, gold medalist(s)","2nd place, silver medalist(s)","3rd place, bronze medalist(s)",Total
Athletics,12,8,10,30
Swimming,11,9,7,27
Wrestling,3,3,2,8
Tennis,2,0,1,3
Synchronized swimming,2,0,0,2
Sailing,1,6,2,9
Gymnastics,1,2,3,6
Boxing,1,1,1,3
Diving,1,1,1,3
Shooting,1,1,0,2
Canoeing,1,0,2,3
Basketball,1,0,1,2
Rowing,0,2,1,3
Judo,0,1,0,1
Cycling,0,0,2,2
Equestrian,0,0,2,2
Volleyball,0,0,2,2
