Sport,Gold,Silver,Bronze,Total
Athletics,13,7,6,26
Swimming,8,6,4,18
Boxing,3,3,2,8
Wrestling,2,1,3,6
Diving,2,1,2,5
Tennis,2,1,2,5
Canoeing,2,0,0,2
Sailing,1,2,2,5
Archery,1,1,1,3
Basketball,1,0,1,2
Volleyball,1,0,0,1
Rowing,0,2,1,3
Equestrian,0,2,0,2
Synchronized swimming,0,2,0,2
Judo,0,1,1,2
Shooting,0,1,0,1
Water polo,0,1,0,1
Cycling,0,0,1,1
Gymnastics,0,0,1,1
Total,36,31,27,94
