Sport,Gold,Silver,Bronze,Total
Swimming,21,13,0,34
Athletics,16,15,9,40
Wrestling,9,3,1,13
Boxing,9,1,1,11
Gymnastics,5,5,6,16
Cycling,4,3,2,9
Sailing,3,4,0,7
Equestrian,3,2,0,5
Shooting,3,1,2,6
Rowing,2,5,1,8
Diving,2,3,3,8
Basketball,2,0,0,2
Synchronized swimming,2,0,0,2
Archery,1,1,0,2
Volleyball,1,1,0,2
Judo,0,1,1,2
Weightlifting,0,1,1,2
Modern pentathlon,0,1,0,1
Water polo,0,1,0,1
Canoeing,0,0,1,1
Fencing,0,0,1,1
Field hockey,0,0,1,1
Total,83,61,30,174
